source,bbvar,nblocks,flux_mean,flux_std,flux_min,flux_max,nearby_count,nfft_peaks
J1311.1-5926,0.0005287723197398009,1,0.0,0.0,0.0,0.0,5,3
J1311.4-6613,119.60550432217133,9,4.0,2.581988897471611,0.0,8.0,5,2
J1311.7-3430,496.4087867912831,17,8.0,4.898979485566356,0.0,16.0,5,3
J1311.8+3953,0.0003874581670970656,1,0.0,0.0,0.0,0.0,5,2
J1312.2-6301,369.8534614449396,15,7.0,4.320493798938574,0.0,14.0,5,2
J1312.4-2156,241.24165040208027,4,1.5,1.118033988749895,0.0,3.0,5,2
J1312.4-6235,24.550322631303516,3,1.0,0.816496580927726,0.0,2.0,5,2
J1312.5-5839,0.0006760054930055048,1,0.0,0.0,0.0,0.0,5,2
J1312.5-6542,8.343713931476714,2,0.5,0.5,0.0,1.0,5,2
J1312.6+4828,5378.786622998594,21,10.0,6.0553007081949835,0.0,20.0,5,3
J1312.6-1859,10.97168535185881,2,0.5,0.5,0.0,1.0,5,2
J1312.7+0050,0.0007600614335387945,1,0.0,0.0,0.0,0.0,5,2
